gene,eigenvalue,phi1,phi2,r2,root_type,half_life,eigenperiod
Ccr1,0.880868,0.628417,0.222377,0.580884,Real,5.4644,NA
Ccr1l1,0.788971,0.464367,0.256103,0.371545,Real,2.9244,NA
Cdc6,0.509419,0.147727,0.184253,0.054924,Real,1.0277,NA
Cecr6,0.828997,0.401157,0.354678,0.422616,Real,3.696,NA
Cep55,0.656188,0.215459,0.289201,0.150855,Real,1.6452,NA
Cfap43,0.517868,0.166492,0.181967,0.070357,Real,1.0534,NA
Cggbp1,0.441718,0.322108,0.052834,0.109351,Real,0.8483,NA
Chd1l,0.252002,0.181553,0.017753,0.034435,Real,0.5029,NA
Chrnb3,0.885635,0.363947,0.462025,0.463679,Real,5.7073,NA
Cit,0.279226,0.08286,0.054831,0.005665,Real,0.5433,NA
Clcf1,0.755343,0.36825,0.292389,0.295052,Real,2.4704,NA
Clcn3,0.290474,0.294096,-0.001052,0.082834,Real,0.5607,NA
Cldn15,0.589242,0.209021,0.224042,0.114401,Real,1.3105,NA
Cnrip1,0.27181,-0.021409,0.068061,0.004682,Real,0.5321,NA
Cntn5,0.367831,0.14263,0.082836,0.030066,Real,0.6931,NA
Copg2os2,0.589039,0.303766,0.168037,0.166831,Real,1.3096,NA
Csnk2b,0.853261,0.722739,0.111369,0.593891,Real,4.3679,NA
Cyp3a16,0.874782,0.502438,0.32572,0.427159,Real,5.1812,NA
D10Ertd43e,0.860554,0.353817,0.436075,0.388717,Real,4.6155,NA
D10Ertd494e,0.956775,0.606945,0.334708,0.547622,Real,15.6866,NA
D11Ertd518e,0.820655,0.375929,0.364967,0.348356,Real,3.5069,NA
D4Ertd117e,0.743284,0.331592,0.306004,0.272046,Real,2.3364,NA
D5Ertd163e,0.386049,0.140825,0.094668,0.032719,Real,0.7283,NA
Dars2,0.366839,0.023849,0.125822,0.016531,Real,0.6912,NA
Dcn,0.392963,0.6038,-0.15442,0.293583,Complex,0.7421,9.0449
Dcun1d3,0.685217,0.368141,0.217267,0.256933,Real,1.8336,NA
Ddx18,0.616105,0.475635,0.086544,0.269963,Real,1.4311,NA
Ddx42,0.623234,0.511987,0.069332,0.299371,Real,1.4659,NA
Dgkq,0.240581,0.058743,0.043747,0.001505,Real,0.4865,NA
Dnase1l3,0.679532,0.351172,0.223132,0.204951,Real,1.7941,NA
Dpcd,0.354583,0.053714,-0.125729,0.017488,Complex,0.6685,4.2029
Dpy19l1,0.603508,0.498268,0.063513,0.305208,Real,1.3726,NA
E130304I02Rik,0.669592,0.429211,0.160957,0.263912,Real,1.7282,NA
E430024I08Rik,0.599654,0.135114,0.278563,0.09269,Real,1.3554,NA
Ecscr,0.40684,-0.060881,0.14075,0.023408,Real,0.7707,NA
Edrf1,0.349942,0.267847,-0.122459,0.072041,Complex,0.6601,5.3334
Efcab10,0.901365,0.459696,0.398105,0.40328,Real,6.6748,NA
Eif3d,0.796024,0.636649,0.126866,0.48447,Real,3.0384,NA
